rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
180,"spotify:track:71Q8QWLpvwvfQ6zM5BdCnm","2T, Văn","Liệu Giờ","LOOPS Music",22,180,204,"127770"
181,"spotify:track:4jWxeq0IpdNhEaBzkNNwTf","Kevindauroi","Đừng Xa Anh Nhé (feat. Harvey)","MaiDao Music",137,152,4,"127530"
182,"spotify:track:5cn5oHiXJTLiuthgbgfkMh","Vũ Cát Tường","Vết Mưa","Universal Music Indochina Distributed Labels",57,178,38,"127484"
183,"spotify:track:1Gu3moX7qQp4t2jk6kJ0C6","Đức Phúc","Cũng Đành Thôi","Đức Phúc Official",63,187,133,"127247"
184,"spotify:track:3TBZ2VchMRulZU8SbJx0Sc","Rocky CDE, Dangrangto, VCC Left Hand","Việc Nên Làm","MaiDao Music",184,-1,1,"126268"
185,"spotify:track:5U30iZBlmxkpHqzb1OSnBS","Rhymastic","Yêu 5","WM Vietnam",77,-1,169,"126086"
186,"spotify:track:6sIWcLjuMvOcxAfMOx1kbB","Coldzy, Minsicko, tlinh","FEVER","The First Management",76,196,8,"126054"
187,"spotify:track:1kmKeANKIVzsfKtMZ4Ei6Z","MYLINA, fueled by boba","Giấc Mơ Của Em - Suy Version","LOOPS Music",174,176,3,"124908"
188,"spotify:track:5qbjUmVV1yOOjcMOInNPYD","Kai Đinh, MIN, GREY D","để tôi ôm em bằng giai điệu này","Yin Yang Media",18,174,84,"124287"
189,"spotify:track:2ctmaWoBxLBYiZB7AKmK1D","Low G","Bảo Tàng","Nhà Hóa Học Đống Đa",33,-1,15,"124200"
190,"spotify:track:72ictTz6o0dusD2QpCn4bn","Wxrdie, Andree Right Hand, Machiot","TETVOVEN","M Music Records",39,181,35,"123652"
191,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",49,-1,78,"123504"
192,"spotify:track:43zzuEWDotRcKlSFzrlJqs","Đạt G","Thêm Bao Nhiêu Lâu","12 trái lê",106,179,10,"123491"
193,"spotify:track:1fgzQI6AtswiR0JMXulldH","Nguyễn Minh Xuân Ái","Là Từ Lúc","AD Ent",97,-1,17,"122787"
194,"spotify:track:7AD5F85waSb3yZxZxEXhJM","Tóc Tiên, Touliver","Có Ai Thương Em Như Anh","Yin Yang Media",20,186,113,"121199"
195,"spotify:track:11hcyWq7qSwBE3bvv5Ialn","buitruonglinh","Dù Cho Mai Về Sau - Acoustic Version","Yin Yang Media",59,-1,140,"120811"
196,"spotify:track:2cJyuhqcXvd6ccvAn8NXsL","tlinh","thế giới thần tiên","Universal Music Indochina Distributed Labels",62,195,40,"119907"
197,"spotify:track:39KWnPNEvbXt423CzjvBfA","SOOBIN","Anh Đã Quen Với Cô Đơn","WM Vietnam",180,190,9,"119836"
198,"spotify:track:4LAdZsiks8vsw3e1iZQgVY","HIEUTHUHAI, B Ray, Tage","Không Phải Gu","M Music Records",51,185,24,"119420"
199,"spotify:track:7fNHfgOxPLcg4mQLhCnOHB","Rapital, Groovie Lã Thắng, tlinh, RPT MCK","XTC (Xích Thêm Chút) (Remix)","M Music Records",87,199,161,"119336"
200,"spotify:track:72DoSwhL22gngThjKqzoYr","VSTRA, TGSN, Tyronee","PHONG","CDSL",29,-1,45,"119321"
