rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,1,64,"4066056"
2,"spotify:track:2KslE17cAJNHTsI2MI0jb2","Jung Kook","Standing Next to You","BIGHIT MUSIC",1,3,47,"2499194"
3,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",1,2,11,"2367120"
4,"spotify:track:41DlPJXKTCypXdf2eSqa03","Vũ., Binz","Bình Yên","WM Vietnam",4,4,5,"1152577"
5,"spotify:track:0SLzsfxED15vyUccX4bCqo","tlinh, Low G","HOP ON DA SHOW","M Music Records",5,8,3,"1012873"
6,"spotify:track:3COYA2vgfcUhDyRlVpZy5p","tlinh, Low G","PHÓNG ZÌN ZÌN","M Music Records",6,14,2,"1011767"
7,"spotify:track:2oVLEoBVDvYrGmzrU7dEm5","ANH TRAI ""SAY HI"", Dương Domic","TRÀN BỘ NHỚ (feat. Dương Domic)","Anh Trai Say Hi",5,5,4,"979881"
8,"spotify:track:68vprHs3lxe8uNUpyXZcM8","ANH TRAI ""SAY HI"", HIEUTHUHAI, Dương Domic, Song Luân, JSOL, Trần Đăng Dương","SAO HẠNG A (feat. HIEUTHUHAI, Dương Domic, Song Luân, Jsol & Trần Đăng Dương)","Anh Trai Say Hi",8,12,3,"887218"
9,"spotify:track:2GE2p2dFpxp7OIz2QOFBzW","ANH TRAI ""SAY HI"", HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều, Isaac","KIM PHÚT, KIM GIỜ (feat. HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều & Isaac)","Anh Trai Say Hi",5,6,6,"859573"
10,"spotify:track:2plbrEY59IikOBgBGLjaoe","Lady Gaga, Bruno Mars","Die With A Smile","Interscope",4,7,7,"821357"
11,"spotify:track:4nXrVH5xwN1w6TpmP7uu8n","HIEUTHUHAI, marzuz","Exit Sign","M Music Records",8,9,51,"792767"
12,"spotify:track:2N0SPREDYqILVEFSsWF5N5","V","Love Me Again","BIGHIT MUSIC",2,10,60,"685415"
13,"spotify:track:7zxfM3Hi0cdeCsORWtXGKs","ANH TRAI ""SAY HI"", Quang Hùng MasterD, Negav, Pháp Kiều, ERIK","TÌNH ĐẦU QUÁ CHÉN (feat. Quang Hùng MasterD, Negav, Pháp Kiều & Erik)","Anh Trai Say Hi",13,23,3,"682313"
14,"spotify:track:7gSQxwCpEMjg8wb6Y3oqe7","ANH TRAI ""SAY HI"", RHYDER, Dương Domic, Pháp Kiều","HÀO QUANG (feat. RHYDER, Dương Domic & Pháp Kiều)","Anh Trai Say Hi",6,15,12,"681911"
